HREF,DATE_SCRAPED,FAILMSG
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_153_154&products_id=40319&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=25110&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_161_162&products_id=2294&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_157_158&products_id=3293&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=9104&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=index&manufacturers_id=54&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_161_162&products_id=4733&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=index&manufacturers_id=25&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=13194&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=9103&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=3613&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=3611&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_143&products_id=9210&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=3270&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=index&manufacturers_id=18&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_157_158&products_id=1007&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=index&manufacturers_id=38&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=6892&zenid=rmvln6m2atecjl08pubn6s18c1,'2017-05-23,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
